turf_name,latitude,longitude,service_address,pk_site_id,service_area_hectare,neighbourhood_id,turf_id,is_active,created_at,modified_at,duration_for_580d,duration_for_72gm,580d,72gm,service_site_id,service_level_id
WALKWAY,53.44102796,-113.4436001,68 - 72 ST & 10 AVE - KNOTTWOOD RD. EAST,1201,0.631,6450,74989,TRUE,2017-04-25 20:09:56.45676+00,2017-04-25 20:09:56.46+00,0:00:00,2:06:12,\N,0.631,5,900
WALKWAY,53.43910077,-113.4446028,BTWN-11-10 AVE-72 ST,1202,0.062,6450,74990,TRUE,2017-04-25 20:09:56.528679+00,2017-04-25 20:09:56.53+00,0:00:00,0:12:24,\N,0.062,6,900
NEIGHBORHOOD PARK,53.4841667,-113.563694,46 AVE-141 ST,1204,0.07,5090,75891,TRUE,2017-04-25 20:11:07.54702+00,2017-04-25 20:11:07.55+00,0:00:00,0:14:00,0,0.07,,930
NEIGHBORHOOD PARK,53.49742958,-113.5742093,RIVERBEND ROAD-148 ST,1211,0.369,5080,75892,TRUE,2017-04-25 20:11:07.616908+00,2017-04-25 20:11:07.62+00,0:06:36,0:29:48,0.22,0.149,,900
WALKWAY,53.48227402,-113.4000263,44 AVE-37 ST,1219,0.019,6370,74991,TRUE,2017-04-25 20:09:56.600461+00,2017-04-25 20:09:56.6+00,0:00:00,0:03:48,\N,0.019,6,900
ROAD ISLAND,53.47991266,-113.5129958,42 AVE-109A ST,1220,0.154,5360,75893,TRUE,2017-04-25 20:11:07.687301+00,2017-04-25 20:11:07.69+00,0:00:00,0:30:48,0,0.154,,900
ROAD ISLAND,53.480784,-113.5113394,43 AVE-108A ST,1221,0.023,5360,75894,TRUE,2017-04-25 20:11:07.757065+00,2017-04-25 20:11:07.76+00,0:00:00,0:04:36,0,0.023,,900
NEIGHBORHOOD PARK,53.48514063,-113.5210698,48 AVE-112 ST,1223,0.4,5280,75895,TRUE,2017-04-25 20:11:07.8281+00,2017-04-25 20:11:07.83+00,0:00:00,1:20:00,0,0.4,,900
NEIGHBORHOOD PARK,53.48622188,-113.5223581,49 AVE-MALMO ROAD,1224,0.111,5280,75896,TRUE,2017-04-25 20:11:07.898273+00,2017-04-25 20:11:07.9+00,0:00:00,0:22:12,0,0.111,,900
ROAD ISLAND (ALLEY),53.50045846,-113.5012432,63A AVE-105-105A ST,1225,0.075,5010,75897,TRUE,2017-04-25 20:11:07.968165+00,2017-04-25 20:11:07.97+00,0:00:00,0:15:00,0,0.075,,900
MILL CREEK RAVINE,53.52753307,-113.482624,92 - 94 AVE & 98 - 98A ST,1226,0.295,5480,74992,TRUE,2017-04-25 20:09:56.675308+00,2017-04-25 20:09:56.68+00,0:00:00,0:59:00,0,0.295,5,910
FRED A. MORIE PARK,53.52571401,-113.4889881,90 AVE-100 ST,1228,0.295,5480,74993,TRUE,2017-04-25 20:09:56.745574+00,2017-04-25 20:09:56.75+00,0:00:00,0:59:00,\N,0.295,5,900
WALKWAY,53.48114421,-113.4058149,BTWN 767 JOHNS RD-KG PIPELINE,1232,0.013,6330,74994,TRUE,2017-04-25 20:09:56.818285+00,2017-04-25 20:09:56.82+00,0:00:00,0:02:36,0,0.013,21,900
ROAD ISLAND,53.47453048,-113.582503,251 Rhatigan Rd E,1237,0.0022,5350,75898,TRUE,2017-04-25 20:11:08.039083+00,2017-04-25 20:11:08.04+00,0:00:00,0:00:26,0,0.002,,900
WALKWAY P.I.P.,53.47456015,-113.593961,#447 RONNING STREET to #481 Ronning Street,1238,0.041,5350,75899,TRUE,2017-04-25 20:11:08.111051+00,2017-04-25 20:11:08.11+00,0:00:00,0:08:12,0,0.041,,900
ROAD ISLAND,53.4403398,-113.526141,11322-10 AVE,1239,0.008,5511,75900,TRUE,2017-04-25 20:11:08.181471+00,2017-04-25 20:11:08.18+00,0:00:00,0:01:36,0,0.008,,900
NEIGHBORHOOD PARK,53.48467129,-113.563798,47 AVE-141 ST,1240,0.193,5090,75901,TRUE,2017-04-25 20:11:08.252078+00,2017-04-25 20:11:08.25+00,0:04:53,0:06:00,0.163,0.03,,930
WALKWAY,53.44115791,-113.5357926,118ST-10A AVE,1243,0.004,5511,75902,TRUE,2017-04-25 20:11:08.323393+00,2017-04-25 20:11:08.32+00,0:00:00,0:00:48,0,0.004,,900
WALKWAY,53.44007421,-113.5356427,10 AVE/116A-118 ST,1244,0.032,5511,75903,TRUE,2017-04-25 20:11:08.395123+00,2017-04-25 20:11:08.4+00,0:00:00,0:06:24,0,0.032,,900
KINROSS-KERR PARK/PLGD,53.47616867,-113.5963977,#509 RONNING ST,1245,0.183,5350,75904,TRUE,2017-04-25 20:11:08.465183+00,2017-04-25 20:11:08.47+00,0:03:50,0:11:00,0.128,0.055,,900
ROAD ISLAND P.I.P.,53.47916235,-113.5911537,#811 ROMANIUK PLACE,1248,0.034,5350,75905,TRUE,2017-04-25 20:11:08.535804+00,2017-04-25 20:11:08.54+00,0:00:00,0:06:48,0,0.034,,900
ROAD ISLAND,53.4714405,-113.4970968,36 AVE-104 ST,1249,0.054,5160,75906,TRUE,2017-04-25 20:11:08.608151+00,2017-04-25 20:11:08.61+00,0:00:00,0:10:48,0,0.054,,900
ETS DAVIES/IT BRANCH/DRAINAGE,53.49184378,-113.4600009,8729 - 58 Avenue,1253,0.188,6170,74995,TRUE,2017-04-25 20:09:56.890386+00,2017-04-25 20:09:56.89+00,0:00:00,0:37:36,\N,0.188,30,900
ROAD ISLAND,53.46692412,-113.4987791,33 AVE-104 ST,1255,0.058,5470,75907,TRUE,2017-04-25 20:11:08.74871+00,2017-04-25 20:11:08.75+00,0:00:00,0:11:36,0,0.058,,900
WALKWAY,53.42449233,-113.5303023,#1133 Rutherford Close - #1044 Rutherford Place,1257,0.058,5454,75908,TRUE,2017-04-25 20:11:08.818999+00,2017-04-25 20:11:08.82+00,0:00:00,0:11:36,0,0.058,,900
WE & JA WERNER PARK,53.46828313,-113.5272171,35 AVE-113-115 ST,1262,0.644,5220,75909,TRUE,2017-04-25 20:11:08.889305+00,2017-04-25 20:11:08.89+00,0:00:00,2:08:48,0,0.644,,900
WALKWAY P.I.P.,53.47826259,-113.5930515,#704 ROMANIUK ROAD # Romaniuk Road,1263,0.011,5350,75910,TRUE,2017-04-25 20:11:08.960066+00,2017-04-25 20:11:08.96+00,0:00:00,0:02:12,0,0.011,,900
WALKWAY,53.45466114,-113.4096457,45 St - 22 Ave,1272,0.008,6580,74996,TRUE,2017-04-25 20:09:57.034079+00,2017-04-25 20:09:57.03+00,0:00:00,0:01:36,0,0.008,9,900
WALKWAY,53.45901085,-113.5418462,28A AVE-123-124 ST,1279,0.044,5070,75911,TRUE,2017-04-25 20:11:09.099611+00,2017-04-25 20:11:09.1+00,0:00:00,0:08:48,0,0.044,,900
NEIGHBORHOOD PARK,53.49480108,-113.5203492,57 AVE-112 ST,1287,0.045,5270,75912,TRUE,2017-04-25 20:11:09.172576+00,2017-04-25 20:11:09.17+00,0:00:00,0:09:00,0,0.045,,900
ROAD ISLAND,53.47676193,-113.5240764,41 AVE-113 ST,1288,0.023,5430,75913,TRUE,2017-04-25 20:11:09.243787+00,2017-04-25 20:11:09.24+00,0:00:00,0:04:36,0,0.023,,900
SADDLEBACK ROAD,53.45539654,-113.5256592,Saddleback Road - 23 AVE to25 AVE,1289,0.086,5060,75914,TRUE,2017-04-25 20:11:09.315132+00,2017-04-25 20:11:09.32+00,0:00:00,0:17:12,0,0.086,,900
WALKWAY,53.42915368,-113.4713192,Between 504 - 90 St SW & 8924 - 5 Ave SW,1292,0.017,6211,74997,TRUE,2017-04-25 20:09:57.116628+00,2017-04-25 20:09:57.12+00,0:00:00,0:03:24,\N,0.017,1,900
Neighbourhood Park,53.51531289,-113.5329677,79 Ave - 116 St,1293,0.226,5040,75915,TRUE,2017-04-25 20:11:09.385683+00,2017-04-25 20:11:09.39+00,0:03:47,0:20:00,0.126,0.1,,900
SMALL PARKS (4),53.50990058,-113.5198006,73 AVE-111A-112A ST,1294,0.105,5290,75916,TRUE,2017-04-25 20:11:09.524131+00,2017-04-25 20:11:09.52+00,0:00:00,0:21:00,0,0.105,,930
ROAD ISLAND,53.46940209,-113.5677741,#909 BURLEY DRIVE,1295,0.033,5100,75917,TRUE,2017-04-25 20:11:09.595671+00,2017-04-25 20:11:09.6+00,0:00:00,0:06:36,0,0.033,,900
ROAD ISLAND,53.46911913,-113.5673905,#910 BURLEY DRIVE,1296,0.019,5100,75918,TRUE,2017-04-25 20:11:09.666535+00,2017-04-25 20:11:09.67+00,0:00:00,0:03:48,0,0.019,,900
ROAD ISLAND,53.46914301,-113.5692469,#923 BURLEY DRIVE,1297,0.038,5100,75919,TRUE,2017-04-25 20:11:09.736438+00,2017-04-25 20:11:09.74+00,0:00:00,0:07:36,0,0.038,,900
WALKWAY,53.47247757,-113.4411285,LEE RIDGE RD-N 36A AVE,1308,0.319,6400,74998,TRUE,2017-04-25 20:09:57.189915+00,2017-04-25 20:09:57.19+00,0:00:00,1:03:48,\N,0.319,15,900
MUNICIPAL RESERVE,53.42339942,-113.537686,Behind #1740 RUTHERFORD POINT to Rutherford Road,1309,0.163,5454,75920,TRUE,2017-04-25 20:11:09.807173+00,2017-04-25 20:11:09.81+00,0:00:00,0:32:36,0,0.163,,900
WALKWAY,53.45190384,-113.4304811,BTWN-19A-23 AVE-E 61 ST,1312,0.334,6460,74999,TRUE,2017-04-25 20:09:57.262788+00,2017-04-25 20:09:57.26+00,0:00:00,1:06:48,\N,0.334,8,900
MEADOWBROOK LAKE,53.47213596,-113.3919408,37-38 AVE & 32-34 ST,1313,1.964,6390,75000,TRUE,2017-04-25 20:09:57.337692+00,2017-04-25 20:09:57.34+00,0:48:00,1:12:48,1.6,0.364,1,900
NEIGHBOURHOOD PARK,53.53171493,-113.4217322,54 ST-94 AVE,1316,0.313,6550,75001,TRUE,2017-04-25 20:09:57.409476+00,2017-04-25 20:09:57.41+00,0:01:23,0:53:24,0.046,0.267,8,900
P.U.L.,53.47005269,-113.3871047,BTWN 3640 - 30 ST & 3647 - 31 ST,1319,0.042,6790,75002,TRUE,2017-04-25 20:09:57.479478+00,2017-04-25 20:09:57.48+00,0:00:00,0:08:24,\N,0.042,10,900
P.U.L.,53.47027557,-113.3884965,BTWN 3656 - 31 ST & 3651 - 31A ST,1320,0.042,6790,75003,TRUE,2017-04-25 20:09:57.555042+00,2017-04-25 20:09:57.56+00,0:00:00,0:08:24,\N,0.042,11,900
WALKWAY,53.43201346,-113.4957155,#356 BLACKBURNE DRIVE EAST,1329,0.024,5590,75921,TRUE,2017-04-25 20:11:09.878495+00,2017-04-25 20:11:09.88+00,0:00:00,0:04:48,0,0.024,,900
WALKWAY,53.49525905,-113.5826479,WHITEMUD ROAD-57-58 AVE,1338,0.035,5080,75922,TRUE,2017-04-25 20:11:09.948918+00,2017-04-25 20:11:09.95+00,0:00:00,0:07:00,0,0.035,,900
WALKWAY,53.46117129,-113.573818,BTWN 733 & 737 LAUBER CRESCENT,1339,0.014,5630,75923,TRUE,2017-04-25 20:11:10.019198+00,2017-04-25 20:11:10.02+00,0:00:00,0:02:48,0,0.014,,900
ROAD ISLAND,53.49972867,-113.457119,CORONET ROAD-86 ST,1342,0.012,6090,75004,TRUE,2017-04-25 20:09:57.695583+00,2017-04-25 20:09:57.7+00,0:00:00,0:02:24,0,0.012,5,900
Road BLVDs and Median,53.45349025,-113.5735486,Tegler Gate - Tory Rd. to 23 ave.,1343,0.053,5640,75924,TRUE,2017-04-25 20:11:10.089947+00,2017-04-25 20:11:10.09+00,0:00:00,0:10:36,0,0.053,,900
WALKWAY,53.45432682,-113.3930957,BETWEEN 2406-33A ST & 3383-24 AVE,1346,0.017,6442,75005,TRUE,2017-04-25 20:09:57.839646+00,2017-04-25 20:09:57.84+00,0:00:00,0:03:24,\N,0.017,5,900
WALKWAY,53.45444878,-113.5178155,23A AVE-111A ST,1349,0.018,5060,75925,TRUE,2017-04-25 20:11:10.160081+00,2017-04-25 20:11:10.16+00,0:00:00,0:03:36,0,0.018,,900
BLVD - RUTHERFORD ROAD N/S,53.42265384,-113.5300018,119 St. SW to Rutherford Close - N side Rutherford Road SW,1350,0.026,5454,75926,TRUE,2017-04-25 20:11:10.233344+00,2017-04-25 20:11:10.23+00,0:00:00,0:05:12,0,0.026,,900
WALKWAY,53.42437991,-113.5363726,Beside #1740 RUTHERFORD POINT,1351,0.018,5454,75927,TRUE,2017-04-25 20:11:10.304407+00,2017-04-25 20:11:10.3+00,0:00:00,0:03:36,0,0.018,,900
BACKAGE/WALKWAYs (2),53.43211931,-113.5213959,Btw. #646 & #616 & behind #616 & #710 McAllister Loop SW,1352,0.503,5452,75928,TRUE,2017-04-25 20:11:10.374718+00,2017-04-25 20:11:10.37+00,0:09:05,0:40:00,0.303,0.2,,900
WHITEMUD DRIVE,53.48200727,-113.56327,WHITEMUD CREEK - TERWILLEGAR INTERCHANGE,1353,0.353,5100,75929,TRUE,2017-04-25 20:11:10.446257+00,2017-04-25 20:11:10.45+00,0:00:00,1:10:36,0,0.353,,910
FOUNTAIN LAKE,53.48157221,-113.3908289,31-33 ST-43-44 AVE,1361,1.084,6390,75006,TRUE,2017-04-25 20:09:57.909681+00,2017-04-25 20:09:57.91+00,0:00:00,3:36:48,\N,1.084,2,900
WALKWAY,53.47374505,-113.3884135,31 ST-BTWN 38-39 AVE,1362,0.039,6390,75007,TRUE,2017-04-25 20:09:57.979478+00,2017-04-25 20:09:57.98+00,0:00:00,0:07:48,\N,0.039,13,900
WALKWAY,53.47552621,-113.3872123,40 AVE-BTWN 31-30 ST,1363,0.038,6390,75008,TRUE,2017-04-25 20:09:58.04975+00,2017-04-25 20:09:58.05+00,0:00:00,0:07:36,\N,0.038,14,900
CHARLES SIMMONS PARK/PLGD *PIP*,53.51515315,-113.5301038,79 AVE - 115 ST,1366,1.339,5290,75930,TRUE,2017-04-25 20:11:10.51612+00,2017-04-25 20:11:10.52+00,0:29:06,1:13:48,0.97,0.369,,930
NEIGHBORHOOD PARK,53.50800915,-113.5381954,72 AVE-119 ST,1367,0.052,5040,75931,TRUE,2017-04-25 20:11:10.586295+00,2017-04-25 20:11:10.59+00,0:00:00,0:10:24,0,0.052,,900
NEIGHBORHOOD PARK,53.4975966,-113.5025779,61 AVE-105B ST,1369,0.205,5320,75932,TRUE,2017-04-25 20:11:10.724818+00,2017-04-25 20:11:10.72+00,0:00:00,0:41:00,0,0.205,,900
NEIGHBORHOOD PARK,53.48841224,-113.5109577,51 AVE ALLERD WAY - 110 ST,1370,0.1672,5320,75933,TRUE,2017-04-25 20:11:10.795632+00,2017-04-25 20:11:10.8+00,0:00:00,0:33:26,0,0.167,,900
NEIGHBORHOOD PARK/ROAD BUFFER,53.49448684,-113.5052734,60 AVE-106 ST-107 ST,1371,0.153,5320,75934,TRUE,2017-04-25 20:11:10.866444+00,2017-04-25 20:11:10.87+00,0:00:00,0:30:36,0,0.153,,900
ROAD BUFFER,53.49548924,-113.5045618,60 AVE-106 ST,1372,0.01,5320,75935,TRUE,2017-04-25 20:11:10.938078+00,2017-04-25 20:11:10.94+00,0:00:00,0:02:00,0,0.01,,900
ROAD ISLAND (2),53.49717844,-113.5126498,60 AVE-109-109A ST,1373,0.027,5320,75936,TRUE,2017-04-25 20:11:11.013132+00,2017-04-25 20:11:11.01+00,0:00:00,0:05:24,0,0.027,,900
GRANDVIEW PARK,53.49945764,-113.5424794,62A AVE-124 ST,1374,0.797,5210,75937,TRUE,2017-04-25 20:11:11.154956+00,2017-04-25 20:11:11.15+00,0:00:00,2:39:24,0,0.797,,900
NEIGHBORHOOD PARK,53.50203247,-113.5439914,65 AVE-124 ST,1375,0.29,5210,75938,TRUE,2017-04-25 20:11:11.225149+00,2017-04-25 20:11:11.23+00,0:00:00,0:58:00,0,0.29,,900
NEIGHBORHOOD PARK,53.50095369,-113.5478907,65 AVE-126 ST,1376,0.399,5210,75939,TRUE,2017-04-25 20:11:11.299267+00,2017-04-25 20:11:11.3+00,0:00:00,1:19:48,0,0.399,,900
NEIGHBORHOOD PARK,53.4997431,-113.5518374,65 AVE-129 ST,1377,0.198,5210,75940,TRUE,2017-04-25 20:11:11.377892+00,2017-04-25 20:11:11.38+00,0:00:00,0:39:36,0,0.198,,900
GRANDVIEW HEIGHTS TURNAROUND CHARGEOUT,53.49871312,-113.5507144,63 AVE-129 ST,1378,0.06,5210,75941,TRUE,2017-04-25 20:11:11.449269+00,2017-04-25 20:11:11.45+00,0:00:00,0:12:00,0,0.06,,900
MILL CREEK RAVINE PARK,53.50441537,-113.4562932,83-86 ST & 63-70 AVE,1380,2.327,6492,75009,TRUE,2017-04-25 20:09:58.192762+00,2017-04-25 20:09:58.19+00,0:59:20,1:09:48,1.978,0.349,335,920
MILL CREEK RAVINE/NEIGHBOURHOOD PARK,53.46635255,-113.3993752,SW SIDE OF RAVINE-BTWN-34B-36 AVE,1381,1.027,6370,75010,TRUE,2017-04-25 20:09:58.269204+00,2017-04-25 20:09:58.27+00,0:26:11,0:30:48,0.873,0.154,24,910
ROAD ISLAND,53.44169228,-113.5294923,#104-TWIN BROOKS COVE,1386,0.02,5511,75942,TRUE,2017-04-25 20:11:11.522086+00,2017-04-25 20:11:11.52+00,0:00:00,0:04:00,0,0.02,,900
WALKWAY,53.4620272,-113.5175962,29 AVE-111A ST,1390,0.026,5490,75943,TRUE,2017-04-25 20:11:11.59378+00,2017-04-25 20:11:11.59+00,0:00:00,0:05:12,0,0.026,,900
WALKWAY,53.46415942,-113.5263082,31-31A AVE-113A ST,1391,0.017,5490,75944,TRUE,2017-04-25 20:11:11.664933+00,2017-04-25 20:11:11.66+00,0:00:00,0:03:24,0,0.017,,900
WALKWAY,53.4659225,-113.5309655,32-33A AVE-115 ST,1392,0.031,5490,75945,TRUE,2017-04-25 20:11:11.735251+00,2017-04-25 20:11:11.74+00,0:00:00,0:06:12,0,0.031,,900
WALKWAY,53.46523485,-113.5201249,33 AVE-111B-112 ST,1393,0.039,5490,75946,TRUE,2017-04-25 20:11:11.805609+00,2017-04-25 20:11:11.81+00,0:00:00,0:07:48,0,0.039,,900
ROAD ISLAND,53.49795571,-113.5683269,60 AVE-143A ST,1394,0.139,5090,75947,TRUE,2017-04-25 20:11:11.876047+00,2017-04-25 20:11:11.88+00,0:02:29,0:11:12,0.083,0.056,,930
ROAD ISLAND,53.42085897,-113.5089677,#2080 BLACKMUD CREEK DRIVE,1395,0.045,5453,75948,TRUE,2017-04-25 20:11:11.946269+00,2017-04-25 20:11:11.95+00,0:00:00,0:09:00,0,0.045,,900
WALKWAY,53.45539761,-113.5929514,#437 Hunters Green to #535 Hunters Green,1399,0.033,5610,75949,TRUE,2017-04-25 20:11:12.018127+00,2017-04-25 20:11:12.02+00,0:00:00,0:06:36,0,0.033,,900
ROAD ISLAND,53.47068194,-113.5703818,09 AVE-113-116 ST,1400,0.869,5511,75950,TRUE,2017-04-25 20:11:12.088566+00,2017-04-25 20:11:12.09+00,0:00:00,2:53:48,0,0.869,,900
WALKWAY,53.44504895,-113.5292942,12 AVE-TWIN BROOKS CRESCENT,1404,0.016,5511,75951,TRUE,2017-04-25 20:11:12.158942+00,2017-04-25 20:11:12.16+00,0:00:00,0:03:12,0,0.016,,900
WALKWAY,53.44625399,-113.5286449,#430-TWIN BROOKS CRESCENT,1405,0.027,5511,75952,TRUE,2017-04-25 20:11:12.229545+00,2017-04-25 20:11:12.23+00,0:00:00,0:05:24,0,0.027,,900
ROAD ISLAND,53.47622791,-113.5665807,#269 BURTON ROAD,1416,0.034,5100,75953,TRUE,2017-04-25 20:11:12.300301+00,2017-04-25 20:11:12.3+00,0:00:00,0:06:48,0,0.034,,900
ROAD ISLAND,53.43788843,-113.5378652,9 AVE-118 ST,1417,0.021,5511,75954,TRUE,2017-04-25 20:11:12.370275+00,2017-04-25 20:11:12.37+00,0:00:00,0:04:12,0,0.021,,900
WHITEMUD DRIVE 34 ST. TO 17 ST.,53.48470116,-113.3807797,NS & SS Whitemud Dr: 34 ST - 17 St,1420,1.003,6690,75011,TRUE,2017-04-25 20:09:58.41107+00,2017-04-25 20:09:58.41+00,0:00:00,3:20:36,0,1.003,15,910
BLVDS (H. A. RESPONSIBILITY),53.47076357,-113.5718857,OEMING ROAD - TERWILLIGAR DR,1421,0.312,5100,75955,TRUE,2017-04-25 20:11:12.441806+00,2017-04-25 20:11:12.44+00,0:00:00,1:02:24,0,0.312,,900
WALKWAY,53.4479728,-113.4325536,BTWN-62-65 ST-17A-18 AVE,1422,0.044,6460,75012,TRUE,2017-04-25 20:09:58.482636+00,2017-04-25 20:09:58.48+00,0:00:00,0:08:48,\N,0.044,9,900
WALKWAY,53.44817357,-113.4233141,CONNECTS 51-54 ST-BTWN-17A-18A AVE,1423,0.04,6460,75013,TRUE,2017-04-25 20:09:58.55266+00,2017-04-25 20:09:58.55+00,0:00:00,0:08:00,\N,0.04,10,900
WALKWAY,53.45208637,-113.425887,56 ST-N 20A AVE,1424,0.011,6460,75014,TRUE,2017-04-25 20:09:58.623317+00,2017-04-25 20:09:58.62+00,0:00:00,0:02:12,\N,0.011,11,900
ROAD MERIDEAN,53.48265597,-113.5044001,106 ST-45-47 AVE,1427,0.041,5170,75956,TRUE,2017-04-25 20:11:12.511784+00,2017-04-25 20:11:12.51+00,0:00:00,0:08:12,0,0.041,,900
NEIGHBORHOOD PARK,53.49172111,-113.5198699,54A AVE-111A ST,1428,0.129,5270,75957,TRUE,2017-04-25 20:11:12.582091+00,2017-04-25 20:11:12.58+00,0:00:00,0:25:48,0,0.129,,900
NEIGHBORHOOD PARK,53.48859595,-113.5200084,51 AVE - 112 ST,1429,0.111,5270,75958,TRUE,2017-04-25 20:11:12.652589+00,2017-04-25 20:11:12.65+00,0:00:00,0:22:12,0,0.111,,900
NEIGHBORHOOD PARK,53.48859852,-113.5256909,51 AVE - 114A ST,1430,0.094,5270,75959,TRUE,2017-04-25 20:11:12.723245+00,2017-04-25 20:11:12.72+00,0:00:00,0:18:48,0,0.094,,900
NEIGHBORHOOD PARK,53.49092275,-113.5250283,54 AVE-114 ST,1431,0.455,5270,75960,TRUE,2017-04-25 20:11:12.79339+00,2017-04-25 20:11:12.79+00,0:00:00,1:31:00,0,0.455,,900
NEIGHBORHOOD PARK,53.49487381,-113.5271346,58 AVE-114A ST,1432,0.121,5270,75961,TRUE,2017-04-25 20:11:12.863686+00,2017-04-25 20:11:12.86+00,0:00:00,0:24:12,0,0.121,,900
ROAD BUFFER,53.49257115,-113.5289358,56 Ave east of 115 St,1433,0.522,5520,75962,TRUE,2017-04-25 20:11:13.003147+00,2017-04-25 20:11:13+00,0:00:00,1:44:24,0,0.522,,900
ROAD ISLAND,53.48980738,-113.548294,52 AVE-124 ST,1434,0.031,5260,75963,TRUE,2017-04-25 20:11:13.076417+00,2017-04-25 20:11:13.08+00,0:00:00,0:06:12,0,0.031,,900
WALKWAY,53.44120747,-113.4595298,BTWN-KNOTTWOOD RD S-10 AVE-W OF 82 ST,1435,0.204,6680,75015,TRUE,2017-04-25 20:09:58.69678+00,2017-04-25 20:09:58.7+00,0:00:00,0:40:48,\N,0.204,10,900
WALKWAY PARTNERS IN PARKS,53.44298538,-113.4577692,CONNECTS 14A AVE-KNOTTWOOD RD S-82 ST,1436,0.043,6680,75016,TRUE,2017-04-25 20:09:58.768124+00,2017-04-25 20:09:58.77+00,0:00:00,0:08:36,\N,0.043,9,900
NEIGHBORHOOD PARK,53.48613255,-113.5251761,49 AVE-114 ST,1437,0.357,5280,75964,TRUE,2017-04-25 20:11:13.148472+00,2017-04-25 20:11:13.15+00,0:00:00,1:11:24,0,0.357,,930
ROAD ISLAND,53.44805732,-113.4152553,48A ST-BTWN-17A-18 AVE,1438,0.012,6580,75017,TRUE,2017-04-25 20:09:58.8395+00,2017-04-25 20:09:58.84+00,0:00:00,0:02:24,\N,0.012,2,900
ROAD ISLAND P.I.P.,53.4769466,-113.5457202,41 AVE-123 ST,1441,0.05,5020,75965,TRUE,2017-04-25 20:11:13.218604+00,2017-04-25 20:11:13.22+00,0:00:00,0:10:00,0,0.05,,900
JOE MORRIS PARK *PIP*,53.51404644,-113.510409,78 AVE-108 ST,1442,0.438,5330,75966,TRUE,2017-04-25 20:11:13.357575+00,2017-04-25 20:11:13.36+00,0:00:00,1:27:36,0,0.438,,930
PUBLIC WORKS-M.E.S.-DAVIES COMPLEX,53.49314887,-113.4595989,58 AVE-87 ST,1446,0.129,6170,75018,TRUE,2017-04-25 20:09:58.909837+00,2017-04-25 20:09:58.91+00,0:00:00,0:25:48,0,0.129,15,900
ROADWAY,53.47401729,-113.4594378,NORTH SIDE MILLWOODS RD-BTWN-91 ST-38,1447,0.148,6760,75019,TRUE,2017-04-25 20:09:58.981078+00,2017-04-25 20:09:58.98+00,0:00:00,0:29:36,0,0.148,8,900
WALKWAY,53.47033728,-113.4148232,38A AVE-48 ST,1449,0.013,6530,75020,TRUE,2017-04-25 20:09:59.05178+00,2017-04-25 20:09:59.05+00,0:00:00,0:02:36,0,0.013,15,900
WALKWAY/PIPELINE RIGHT OF WAY,53.46912852,-113.4624634,BTWN-85-91 ST,1450,2.551,6600,75021,TRUE,2017-04-25 20:09:59.19425+00,2017-04-25 20:09:59.19+00,1:05:01,1:16:48,2.167,0.384,12,900
WALKWAY,53.47182007,-113.4430238,MILLBOURNE RD E-LEE RIDGE RD-N 36A AVE,1451,0.506,6400,75022,TRUE,2017-04-25 20:09:59.265146+00,2017-04-25 20:09:59.27+00,0:00:00,1:41:12,\N,0.506,16,900
WALKWAY,53.4631616,-113.4618949,87 -89 ST & 33 AVE - LAKEWOOD RD. NORTH,1452,0.122,6750,75023,TRUE,2017-04-25 20:09:59.341366+00,2017-04-25 20:09:59.34+00,0:00:00,0:24:24,\N,0.122,9,900
ROAD ISLAND/WALKWAY,53.46072409,-113.462334,89 ST BTWN 29 & 30 AVE,1453,0.06,6750,75024,TRUE,2017-04-25 20:09:59.412511+00,2017-04-25 20:09:59.41+00,0:00:00,0:12:00,\N,0.06,8,900
ROAD BUFFERS,53.52541651,-113.440711,NORTH SIDE 90 AVE-75 ST,1456,0.165,6550,75025,TRUE,2017-04-25 20:09:59.483103+00,2017-04-25 20:09:59.48+00,0:00:00,0:33:00,\N,0.165,17,900
WALKWAY,53.4255926,-113.4703023,89 ST SW & 8 AVE SW,1457,0.1,6211,75026,TRUE,2017-04-25 20:09:59.553812+00,2017-04-25 20:09:59.55+00,0:00:00,0:20:00,\N,0.1,7,900
WALKWAY,53.42862787,-113.5264644,#3845 MCLEAN CLOSE to #221 MacEwan Road,1459,0.031,5452,75967,TRUE,2017-04-25 20:11:13.428562+00,2017-04-25 20:11:13.43+00,0:00:00,0:06:12,0,0.031,,900
WALKWAY,53.4588106,-113.55563,938 Hollingsworth Bend - 520 HODGSON RD,1460,0.037,5620,75968,TRUE,2017-04-25 20:11:13.500958+00,2017-04-25 20:11:13.5+00,0:00:00,0:07:24,0,0.037,,900
BLVD,53.47250303,-113.3764284,E/S 23 St South of 37A Ave,1461,0.028,6790,75027,TRUE,2017-04-25 20:09:59.625641+00,2017-04-25 20:09:59.63+00,0:00:00,0:05:36,\N,0.028,48,900
ROAD ISLAND,53.48795973,-113.495164,51 Ave. - Calgary Trail South,1467,0.023,5110,75969,TRUE,2017-04-25 20:11:13.571169+00,2017-04-25 20:11:13.57+00,0:00:00,0:04:36,0,0.023,,900
ROAD ISLAND,53.52333467,-113.4198854,52 ST-90A AVE,1477,0.014,6550,75028,TRUE,2017-04-25 20:09:59.696621+00,2017-04-25 20:09:59.7+00,0:00:00,0:02:48,\N,0.014,13,900
