SORT,Lead (NEIGHBOURHOOD route),service_site_ID,Neighborhood,Adddress,Service_level,"X""s",PINSITE_ID,PKSITE_NO,service_location_name,DESCRIPTION,SITE#,lat,long,service_area,580D,72GM,580D Rate,72GM Rate,Service-Duration for 580D,Service-Duration for 72GM,Old District,Weekend/School Route,2017 WIP Area,SLIM_AREA,NOTES,,,,,,,,
575,BISSET,3,BISSET,37 ST - 25 AVE,B1,11,3751,3751,MUCHIAS PARK,37 ST - 25 AVE,3,53.455638710,-113.396725000,0.4290,0.000,0.429,2,0.3,0:00:00,1:25:48,SE,,,,,,,,,,,,
576,OTTEWELL,4,OTTEWELL,98 AVE BETWEEN 50 ST & 57 ST,B1,11,3767,3767,ROAD BUFFER/TRIANGLES,98 AVE BETWEEN 50 ST & 57 ST,4,53.537579000,-113.420191200,2.1850,0.325,1.860,2,0.3,0:09:45,6:12:00,SE,,,,,,,,,,,,
577,SUMMERSIDE,36,SUMMERSIDE,950 Summerside Link,B1,11,3769,3769,WALKWAY,950 Summerside Link,36,53.416264380,-113.477007900,0.0080,0.000,0.008,2,0.3,0:00:00,0:01:36,SE,,,,,,,,,,,,
578,MICHAELS PARK,13,MICHAELS PARK,WEST SIDE 66 ST BTWN 38 AVE-WHITEMUD D,B1,11,3780,3780,ROADWAY,WEST SIDE 66 ST BTWN 38 AVE - WHITEMUD DRIVE,13,53.477692730,-113.441208200,0.9920,0.250,0.742,2,0.3,0:07:30,2:28:24,SE,Weekend - Roadway,,,,,,,,,,,
579,SUMMERSIDE,19,SUMMERSIDE,88 ST SW: SOUTH OF SUMMERSIDE DRIVE,B1,11,3800,3800,UTILITY LOT/BLVD,88 ST SW: SOUTH OF SUMMERSIDE DRIVE,19,53.417089620,-113.466983900,0.8640,0.130,0.734,2,0.3,0:03:54,2:26:48,SE,,,,,,,,,,,,
580,WILD ROSE,27,WILD ROSE,BETWEEN 522 & 524 WISEMAN LAND,B1,11,3819,3819,WALKWAY,BETWEEN 522 & 524 WISEMAN LAND,27,53.476745020,-113.375906000,0.0140,,0.014,2,0.3,0:00:00,0:02:48,SE,,,,,,,,,,,,
581,WILD ROSE,38,WILD ROSE,38 AVE & 17 ST,B1,11,3820,3820,STORM WATER MANAGEMENT FACILITY,38 AVE & 17 ST,38,53.476330570,-113.370497700,1.2800,0.190,1.090,2,0.3,0:05:42,3:38:00,SE,,,,,,,,,,,,
582,DALY GROVE,6,DALY GROVE,EAST SIDE MILLWOODS RD E. BTWN 17-20 AV,B1,11,3829,3829,ROADWAY,EAST SIDE MILL WOODS RD E. BTWN 17 - 20 AVE,6,53.448645090,-113.405425800,0.2780,0.000,0.278,2,0.3,0:00:00,0:55:36,SE,Weekend - Roadway,,,,,,,,,,,
583,HOLYROOD,15,HOLYROOD,83-85 ST-BTWN-97-98 AVE,B1,11,3832,3832,ROAD ISLAND (BACK ALLEY),83 - 85 ST - BTWN - 97 - 98 AVE,15,53.536823930,-113.454980100,0.0240,,0.024,2,0.3,0:00:00,0:04:48,SE,,,,,,,,,,,,
584,FOREST HEIGHTS,19,FOREST HEIGHTS,ROWLAND ROAD-82-83 ST,B1,11,3840,3840,VACANT LOT,ROWLAND ROAD - 82 - 83 ST,19,53.550407820,-113.455374000,0.0240,,0.024,2,0.3,0:00:00,0:04:48,SE,,,,,,,,,,,,
585,MICHAELS PARK,11,MICHAELS PARK,BTWN MILLBOURNE RD E-66 ST,B1,11,3846,3846,WALKWAY/PIPELINE,BTWN MILLBOURNE RD E - 66 ST,11,53.479977970,-113.444173500,1.3630,0.363,1.000,2,0.3,0:10:53,3:20:00,SE,,,,,,,,,,,,
586,MICHAELS PARK,5,MICHAELS PARK,NORTH SIDE 38 AVE BTWN 76-66 ST,B1,11,3847,3847,ROADWAY,NORTH SIDE 38 AVE BTWN 76 - 66 ST,5,53.474372140,-113.442909200,0.3640,0.000,0.364,2,0.3,0:00:00,1:12:48,SE,Weekend - Roadway,,,,,,,,,,,
587,HAZELDEAN,3,HAZELDEAN,68 AVE: 93 - 97 ST,B1,11,3852,3852,HAZELDEAN PARKS/School/PLGD/C.L.,68 AVE: 93 - 97 ST,3,53.504524520,-113.478029400,0.7770,0.117,0.660,2,0.3,0:03:31,2:12:00,SE,,,,,,,,,,,,
588,GREENVIEW,3,GREENVIEW,NORTH SIDE 38 AVE-BTWN-66-50 ST,B1,11,3859,3859,ROADWAY,NORTH SIDE 38 AVE - BTWN - 66 - 50 ST,3,53.472775710,-113.427025100,0.4190,,0.419,2,0.3,0:00:00,1:23:48,SE,Weekend - Roadway,,,,,,,,,,,
589,WEINLOS,3,WEINLOS,46 ST-25 AVE/45 ST-25 AVE,B1,11,3862,3862,Hawkins Park & WALKWAY,46 ST - 25 AVE/45 ST - 25 AVE,3,53.456467700,-113.411652200,0.0460,,0.046,2,0.3,0:00:00,0:09:12,SE,,,,,,,,,,,,
590,SILVER BERRY,1,SILVER BERRY,Silver Berry Road & 28A Ave,B1,11,3863,3863,Silver Berry Future School/Park,Silver Berry Road & 28A AVE,1,53.458183910,-113.384262800,0.3890,,0.389,2,0.3,0:00:00,1:17:48,SE,,,,,,,,,,,,
591,TAWA,1,TAWA,E/S & C 66 ST: 28 AVE - 34 AVE,B1,11,3883,3883,ROADWAY,E/S & C 66 ST: 28 AVE - 34 AVE,5,53.462872180,-113.434884600,0.7980,0.240,0.558,2,0.3,0:07:12,1:51:36,SE,Weekend - Roadway,,,,,,,,,,,
592,KINISKI GARDENS,26,KINISKI GARDENS,S/S 38 AVE: 44 ST - KALFMAN WAY,B1,11,3896,3896,ROADWAY BLVD,S/S 38 AVE: 44 ST - KALFMAN WAY,26,53.471797030,-113.402303800,0.0960,,0.096,2,0.3,0:00:00,0:19:12,SE,Weekend - Roadway,,,,,,,,,,,
593,WILD ROSE,20,WILD ROSE,WEST OF 23 ST: 38 AVE - 37A AVE,B1,11,3897,3897,ALTALINK RIGHT OF WAY,WEST OF 23 ST: 38 AVE - 37A AVE,20,53.473943600,-113.381152300,2.4070,2.047,0.360,2,0.3,1:01:25,1:12:00,SE,,,,,,,,,,,,
594,KINISKI GARDENS,21,KINISKI GARDENS,W/S & C 34 St: 38 Ave South to Ravine,B1,11,3907,3907,ROADWAY,W/S & C 34 St: 38 AVE South to Ravine,21,53.468930810,-113.393960100,1.5830,1.345,0.237,2,0.3,0:40:21,0:47:24,SE,Weekend - Roadway,,,,,,,,,,,
595,BISSET,6,BISSET,E/S MILLWOODS RD E: 23 AVE - 34 AVE,B1,11,3917,3917,ROADWAY,E/S MILL WOODS RD E: 23 AVE - 34 AVE,6,53.460098930,-113.407110100,0.7030,0.000,0.703,2,0.3,0:00:00,2:20:36,SE,Weekend - Roadway,,,,,,,,,,,
596,STRATHCONA,,STRATHCONA,103ST WEST TO 107st,B1,11,3918,3918,C.P.R. RIGHT OF WAY (FORMERLY TRANSPORTN DEPT),103ST WEST TO 107st,21,53.521504870,-113.500938800,1.6102,0.000,1.610,2,0.3,0:00:00,5:22:03,SE,,,1.610243907,Used SLIM Area,,,,,,,,
597,GREENVIEW,5,MILL WOODS GOLF COURSE,EAST SIDE/C 66 ST: 38 AVE-WHITEMUD DRIVE,B1,11,3921,3921,ROADWAY,EAST SIDE/C 66 ST: 38 AVE - WHITEMUD DRIVE,5,53.479470080,-113.441267400,2.3700,1.300,1.070,2,0.3,0:39:00,3:34:00,SE,Weekend - Roadway,,,,,,,,,,,
598,GREENVIEW,11,GREENVIEW,61 -66 ST & GRANDMEADOW CRESENT (P.P.),B1,11,3922,3922,WALKWAY,61 - 66 ST & GRANDMEADOW CRESENT (P.P.),11,53.476311820,-113.435753600,0.6100,,0.610,2,0.3,0:00:00,2:02:00,SE,,,,,,,,,,,,
599,MICHAELS PARK,18,MICHAELS PARK,NEXT TO 3931 - 67 ST,B1,11,3923,3923,P. U. L.,NEXT TO 3931 - 67 ST,18,53.476179550,-113.440265500,0.0100,,0.010,2,0.3,0:00:00,0:02:00,SE,,,,,,,,,,,,
600,EKOTA,13,EKOTA,BTWN-EKOTA-ST CLEMENTS SCHS,B1,11,3950,3950,WALKWAY,BTWN - EKOTA - ST CLEMENTS SCHS,13,53.446628440,-113.445044500,0.4880,,0.488,2,0.3,0:00:00,1:37:36,SE,,,,,,,,,,,,
601,KINISKI GARDENS,4,KINISKI GARDENS,W/S 34 ST: WHITEMUD DR - 38 AVE,B1,11,3951,3951,ROADWAY,W/S 34 ST: WHITEMUD DR - 38 AVE,4,53.480268300,-113.393961400,1.2720,1.000,0.272,2,0.3,0:30:00,0:54:24,SE,Weekend - Roadway,,,,,,,,,,,
602,WILDROSE,21,WILD ROSE,East of 28 St & South of 37A Ave,B1,11,3955,3955,AltaLink Right of Way & WALKWAY,East of 28 St & South of 37A AVE,21,53.469624390,-113.381260900,0.3710,0.315,0.056,2,0.3,0:09:27,0:11:12,SE,,,,,,,,,,,,
603,TERRACE HEIGHTS,,TERRACE HEIGHTS,74 St & 104 Ave,B1,11,3956,3956,ROAD ISLAND,74 St & 104 AVE,6,53.545871790,-113.441700100,0.1120,0.000,0.112,2,0.3,0:00:00,0:22:24,SE,,,,,,,,,,,,
604,TERRACE HEIGHTS,10,TERRACE HEIGHTS,E/S & C 75 St: 98 Ave - 101 Ave,B1,11,3957,3957,ROAD BUFFER,E/S & C 75 St: 98 AVE - 101 AVE,10,53.539136140,-113.443019400,0.2710,0.000,0.271,2,0.3,0:00:00,0:54:12,SE,,,,,,,,,,,,
605,FOREST HEIGHTS,7,FOREST HEIGHTS,80 ST-S OF 101 AVE,B1,11,3958,3958,FORSLAND PARK,80 ST - S OF 101 AVE,7,53.539278590,-113.450873300,2.3470,2.000,0.347,2,0.3,1:00:00,1:09:24,SE,,,,,,,,,,,,
606,EASTGATE BUSINESS PARK,3,EASTGATE BUSINESS PARK,E/S & C 50 ST: 92 AVE - 101 AVE,B1,11,3959,3959,ROADWAY,E/S & C 50 ST: 92 AVE - 101 AVE,3,53.532498730,-113.418382500,2.4100,2.050,0.360,2,0.3,1:01:30,1:12:00,SE,,,,Gerry - Community,,,,,,,,
607,SOUTHEAST INDUSTRIAL,1,SOUTHEAST INDUSTRIAL,17 ST-66 AVE,B1,11,3974,3974,TWIN PARKS,17 ST - 66 AVE,1,53.501549290,-113.367582400,10.8960,9.262,1.634,2,0.3,4:37:51,5:26:53,SE,,,,NEED MORE DISCUSSION,,,,,,,,
608,GREENVIEW,23,GREENVIEW,WEST SIDE 50 ST BTWN 38-40 AVE,B1,11,3977,3977,ROADWAY,WEST SIDE 50 ST BTWN 38 - 40 AVE,23,53.473131900,-113.416026500,0.6900,0.400,0.290,2,0.3,0:12:00,0:58:00,SE,Weekend - Roadway,,,,,,,,,,,
609,MINCHAU,8,MINCHAU,N/S 34 AVE: 50 ST - MILLWOODS RD E,B1,11,3990,3990,ROAD WAY/ WALKWAYs,N/S 34 AVE: 50 ST - MILL WOODS RD E,5,53.464665580,-113.413345600,0.6080,0.000,0.608,2,0.3,0:00:00,2:01:36,SE,Weekend - Roadway,,,,,,,,,,,
610,KINISKI GARDENS,37,KINISKI GARDENS,38 AVE/44 ST DOWN TO 34 ST,B1,11,3991,3991,RAVINE WALKWAY - TOP OF BANK,38 AVE/44 ST DOWN TO 34 ST,37,53.468201750,-113.399518000,0.5980,,0.598,2,0.3,0:00:00,1:59:36,SE,,,,,,,,,,,,
611,LEE RIDGE,1,LEE RIDGE,MILLBOURNE RD E-LEE RIDGE RD,B1,11,3996,3996,LEE RIDGE SCHOOL/PARK/PLGD/WALKWAY,MILLBOURNE RD E - LEE RIDGE RD,1,53.471000970,-113.446891800,6.3710,5.000,1.371,2,0.3,2:30:00,4:34:12,SE,,,,,,,,,,,,
612,KING EDWARD PARK,2,KING EDWARD PARK,83 ST-78 AVE,B2,8,3999,3999,ST JAMES SCHOOL,83 ST - 78 AVE,2,53.514173620,-113.456719000,0.8420,0.126,0.716,2,0.3,0:03:47,2:23:12,SE,,,,,,,,,,,,
613,HOLYROOD,13,IDYLWYLDE,N/S & C 90 AVE: 75 ST - 85 ST,B1,11,4010,4010,ROADWAY AND WALKWAY,N/S & C 90 AVE: 75 ST - 85 ST,13,53.525346170,-113.449920500,0.6640,0.557,0.107,2,0.3,0:16:43,0:21:24,SE,,,,,,,,,,,,
614,OTTEWELL,5,OTTEWELL,67A ST-93A AVE,B1,11,4011,4011,CONCORDIA COLLEGE/BRAEMAR/OTTEWELL PARK/PLGD/C.L.,67A ST - 93A AVE,5,53.531251770,-113.427068600,12.1000,11.000,1.100,2,0.3,5:30:00,3:40:00,SE,,,,,,,,,,,,
615,OTTEWELL,26,OTTEWELL,52-54 ST-BTWN-92C-93A AVE,B1,11,4012,4012,OTTEWELL CONDO WALKWAY B,52 - 54 ST - BTWN - 92C - 93A AVE,26,53.530118330,-113.420098500,0.1000,,0.100,2,0.3,0:00:00,0:20:00,SE,,,,,,,,,,,,
616,ELLERSLIE,2,ELLERSLIE,67 ST - 6 AVE SW,B1,11,4013,4013,ELLERSLIE BALL PARK/CURLING RINK/DITCHES,67 ST - 6 AVE SW,2,53.427203190,-113.447899000,4.2340,3.000,1.234,2,0.3,1:30:00,4:06:48,SE,,,,,,,,,,,,
617,STRATHEARN,8,STRATHEARN,CONNORS ROAD & 90 AVE,B2,8,4014,4014,TRAFFIC CIRCLE,CONNORS ROAD & 90 AVE,7,53.524991060,-113.457463900,0.6380,0.550,0.088,2,0.3,0:16:30,0:17:36,SE,,,,,,,,,,,,
618,MINCAHU,,MINCAHU,W/S & C 34 St: Ravine South to 23 Ave,B1,11,4024,4024,ROADWAY,34 ST. : W/S & C Ravine South to 23 Ave,,53.464567194,-113.394195219,0.2655,0.000,0.040,2,0.3,0:00:00,0:07:58,SE,Weekend - Roadway,,0.2654847516,"Chuck says 85% is WAM - 15% is 72""",,,,,,,,
619,HILLVIEW,9,HILLVIEW,S/S 38 AVE: 66 ST - 50 ST,B1,11,4033,4033,ROADWAY,S/S 38 AVE: 66 ST - 50 ST,9,53.472632350,-113.427711300,0.0290,,0.029,2,0.3,0:00:00,0:05:48,SE,Weekend - Roadway,,,,,,,,,,,
620,MINCHAU,13,MINCHAU,EAST SIDE/C 50 ST 38 - 40 AVE,B1,11,4034,4034,ROADWAY,EAST SIDE/C 50 ST 38 - 40 AVE,13,53.473025220,-113.415572200,1.0150,0.564,0.451,2,0.3,0:16:55,1:30:12,SE,Weekend - Roadway,,,,,,,,,,,
621,KING EDWARD PARK,1,GREENVIEW,79 AVE-87 ST,B1,11,4035,4035,DONNAN SCHOOL/PLGD/KING EDWARD C.L.,79 AVE - 87 ST,1,53.514111380,-113.459563500,2.6530,2.255,0.398,2,0.3,1:07:39,1:19:36,SE,,,,,,,,,,,,
622,MILL WOODS TOWN CENTRE,1,KING EDWARD PARK,WEST SIDE 50 ST BTWN 28-34 AVE,B1,11,4039,4039,ROADWAY,WEST SIDE 50 ST BTWN 28 - 34 AVE,7,53.463055670,-113.421103500,0.6830,0.000,0.683,2,0.3,0:00:00,2:16:36,SE,Weekend - Roadway,,,,,,,,,,,
623,MCINTYRE INDUSTRIAL,2,MILL WOODS PARK,N/S WHITEMUD DRIVE BTWN 91 ST & 76 ST,B2,8,4042,4042,WHITEMUD DRIVE,N/S WHITEMUD DRIVE BTWN 91 ST & 76 ST,102,53.484377020,-113.461174800,5.6130,3.930,1.683,2,0.3,1:57:54,5:36:36,SE,Weekend - Roadway,,,,,,,,,,,
624,HOLYROOD,2,PAPASCHASE INDUSTRIAL,79 ST-94 AVE,B1,11,4043,4043,HOLYROOD SCH/PLGD/C.L./ST HELEN'S SENIOR CENTER,79 ST - 94 AVE,2,53.531484540,-113.450836800,6.2690,5.329,0.940,2,0.3,2:39:52,3:08:00,SE,,,,,,,,,,,,
625,POLLARD MEADOWS,1,OTTEWELL,17 Ave-18A Ave & 48 St-Mill Woods Road East,B1,11,4045,4045,Pollard Meadows/Holy Family Schools/Park/Plgd,17 AVE - 18A AVE & 48 St - Mill Woods Road East,1,53.447494770,-113.408048500,11.6080,10.447,1.161,2,0.3,5:13:25,3:52:12,SE,,,,,,,,,,,,
626,TIPASKAN,7,POLLARD MEADOWS,79 -84 ST & 28 - 30 AVE,B1,11,4047,4047,WALKWAY,79 - 84 ST & 28 - 30 AVE,7,53.461461200,-113.455742000,0.4330,0.000,0.433,2,0.3,0:00:00,1:26:36,SE,,,,,,,,,,,,
627,DALY GROVE,1,DALY GROVE,1888 - 37 ST,B1,11,4048,4048,DALY GROVE SCHOOL/PARK/PLGD,1888 - 37 ST,1,53.448736440,-113.400668200,5.7790,4.912,0.867,2,0.3,2:27:22,2:53:22,SE,,,,,,,,,,,,
628,STRATHCONA,,STRATHCONA,83 AVE-104 ST,B1,11,4054,4054,STRATHCONA LIBRARY PARK (MCINTYRE PARK),83 AVE - 104 ST,10,53.519384040,-113.497078100,0.2220,0.000,0.222,2,0.3,0:00:00,0:44:24,SE,,,,,,,,,,,,
629,STRATHCONA,,STRATHCONA,84 AVE-104 ST,B1,11,4055,4055,STATHCONA LIBRARY  CHARGE-OUT,84 AVE - 104 ST,9,53.519799680,-113.497035600,0.0660,0.000,0.066,2,0.3,0:00:00,0:13:12,SE,,,,,,,,,,,,
630,SUMMERSIDE,9,SUMMERSIDE,14 Ave SW & 82 St SW,B1,11,4067,4067,Park,14 AVE SW & 82 St SW,50,53.420837350,-113.458160000,0.3220,,0.322,2,0.3,0:00:00,1:04:24,SE,,,,,,,,,,,,
631,OTTEWELL,3,OTTEWELL,W/S 50 ST: 90 AVE - 101 AVE,B1,11,4075,4075,ROADWAY,W/S 50 ST: 90 AVE - 101 AVE,3,53.529495720,-113.418964200,1.7900,0.270,1.520,2,0.3,0:08:06,5:04:00,SE,,,,Gerry - Community,,,,,,,,
632,SATOO,3,SATOO,SOUTH SIDE&C 23 AVE-BTWN 85 ST-MILLWOO,B1,11,4081,4081,ROADWAY,SOUTH SIDE&C 23 AVE - BTWN 85 ST - MILL WOODS RD,3,53.452436710,-113.454101100,1.6580,1.070,0.588,2,0.3,0:32:06,1:57:36,SE,Weekend - Roadway,,,,,,,,,,,
633,CRAWFORD PLAINS,4,CRAWFORD PLAINS,E/S & C 50 ST BTWN 13 AVE-MILLWOODS RD S,B1,11,4082,4082,ROADWAY,E/S & C 50 ST BTWN 13 AVE - MILL WOODS RD S,4,53.443775690,-113.418728600,0.4170,0.063,0.354,2,0.3,0:01:53,1:10:48,SE,Weekend - Roadway,,,,,,,,,,,
634,MCINTYRE INDUSTRIAL,6,CORONET INDUSTRIAL,91 ST BTWN 51 & 54 AVE,B1,11,4087,4087,ROADWAY,91 ST BTWN 51 & 54 AVE,6,53.489849470,-113.467031600,1.0580,0.800,0.258,2,0.3,0:24:00,0:51:36,SE,Weekend - Roadway,,,,,,,,,,,
635,CAPILANO,10,CAPILANO,106A AVE-52 ST,B1,11,4091,4091,ROAD ISLAND,106A AVE - 52 ST,10,53.553244260,-113.420609700,0.2390,0.000,0.239,2,0.3,0:00:00,0:47:48,SE,,,,,,,,,,,,
636,JACKSON HEIGHTS,34,JACKSON HEIGHTS,JACKSON RD.-BOTH SIDES-44AVE TO PIPELIN,B1,11,4098,4098,ROADWAY BLVDS,JACKSON RD. - BOTH SIDES - 44 AVE TO PIPELINE,34,53.483455610,-113.407746100,0.1060,,0.106,2,0.3,0:00:00,0:21:12,SE,,,,,,,,,,,,
637,JACKSON HEIGHTS,35,JACKSON HEIGHTS,WESTSIDE/EAST SIDE 44 ST: JACKSON RD - P,B1,11,4118,4118,ROADWAY BLVD,WESTSIDE/EAST SIDE 44 ST: JACKSON RD - PIPELINE,35,53.480734880,-113.409848500,0.4260,,0.426,2,0.3,0:00:00,1:25:12,SE,,,,,,,,,,,,
638,SUMMERSIDE,,SUMMERSIDE,Stanton Dr - 67 St,B1,11,4119,4119,WALKWAY / BLVD Backage,Stanton Dr - 67 St,53,53.420414180,-113.443706900,0.0360,0.000,0.036,2,0.3,0:00:00,0:07:12,SE,,,,,,,,,,,,
639,HILLVIEW,2,HILLVIEW,WEST SIDE OF 50 ST: 34 Ave - 38 Ave,B1,11,4120,4120,ROAD BUFFER,WEST SIDE OF 50 ST: 34 AVE - 38 AVE,2,53.467644270,-113.418616300,0.466,0.000,0.466,2,0.3,0:00:00,1:33:09,SE,Weekend - Roadway,,0.4657597391,Used SLIM Area,,,,,,,,
640,LARKSPUR,1,LARKSPUR,43A AVE: 27 - 30 ST,B1,11,4122,4122,VELMA E. BAKER SCHOOL/PARK/BLVD,43A AVE: 27 - 30 ST,1,53.479783510,-113.384769800,11.2240,9.540,1.684,2,0.3,4:46:13,5:36:43,SE,,,,,,,,,,,,
641,BONNIE DOON,1,BONNIE DOON,91 ST-86 AVE,B1,11,4123,4123,RUTHERFORD SCHOOL/PLGD,91 ST - 86 AVE,1,53.522738500,-113.468972600,1.8620,0.352,1.510,2,0.3,0:10:34,5:02:00,SE,,,,,,,,,,,,
642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,IDYLWYLDE,5,IDYLWYLDE,77 ST-87 AVE,B1,11,4125,4125,ROAD ISLAND,77 ST - 87 AVE,5,53.522602080,-113.446171600,0.0820,,0.082,2,0.3,0:00:00,0:16:24,SE,,,,,,,,,,,,
644,IDYLWYLDE,4,IDYLWYLDE,NORTH OF 86 AVE-E OF 79 ST,B1,11,4126,4126,ROADWAY (BACK ALLEY),NORTH OF 86 AVE - E OF 79 ST,4,53.522395470,-113.448135600,0.0360,,0.036,2,0.3,0:00:00,0:07:12,SE,,,,,,,,,,,,
645,IDYLWYLDE,6,IDYLWYLDE,77 ST-85 AVE/ALLEY 77-79 ST,B1,11,4127,4127,ROAD ISLAND/UTILITY LOT/ALLEY EASEMENT,77 ST - 85 AVE/ALLEY 77 - 79 ST,6,53.520331140,-113.446826300,0.6340,0.100,0.534,2,0.3,0:03:00,1:46:48,SE,,,,,,,,,,,,
646,MILL WOODS TOWN CENTRE,2,MILL WOODS TOWN CENTRE,EAST SIDE & CENTER 66 ST: BTWN 23-28 AVE,B1,11,4157,4157,ROAD MEDIAN,EAST SIDE & CENTER 66 ST: BTWN 23 - 28 AVE,10,53.455732990,-113.434507400,0.3260,0.160,0.166,2,0.3,0:04:48,0:33:12,SE,Weekend - Roadway,,,,,,,,,,,
647,LARKSPUR,44,LARKSPUR,21 ST: 38 AVE - 43A AVE - SWMF,B1,11,4162,4162,BLVD & ALLEY,21 ST: 38 AVE - 43A AVE - SWMF,44,53.479221730,-113.377014800,0.1240,,0.124,2,0.3,0:00:00,0:24:48,SE,,,,,,,,,,,,
648,WILD ROSE,31,WILD ROSE,23 ST & 37A AVE,B1,11,4165,4165,FATHER MICHAEL TROY SCHOOL/PARK,23 ST & 37A AVE,31,53.471352760,-113.378769100,5.5470,4.715,0.832,2,0.3,2:21:27,2:46:25,SE,,,,,,,,,,,,
649,CORONET INDUSTRIAL,2,CORONET INDUSTRIAL,N/S 51 AVE: 99 ST - 91 ST,B2,8,4170,4170,ROAD ISLANDS,N/S 51 AVE: 99 ST - 91 ST,2,53.488277640,-113.483046100,0.1930,0.000,0.193,2,0.3,0:00:00,0:38:36,SE,,,,,,,,,,,,
650,TWEDDLE PLACE,3,TWEDDLE PLACE,Millbourned Road West & 40 Ave,B1,11,4177,4177,EDITH ROGERS/ST HILDA/TWEDDLE SCHOOLS/PARK/PLGD/WALKWAYS,Millbourned Road West & 40 AVE,2,53.475769090,-113.454508800,2.4510,2.083,0.368,2,0.3,1:02:29,1:13:36,SE,,,,,,,,,,,,
652,JACKSON HEIGHTS,27,JACKSON HEIGHTS,JAMHA ROAD & JACKSON ROAD,B1,11,4186,4186,JACKSON HEIGHTS PARK/BLVD/WALKWAY,JAMHA ROAD & JACKSON ROAD,27,53.483431110,-113.407257900,2.9950,2.546,0.449,2,0.3,1:16:22,1:29:51,SE,,,,,,,,,,,,
653,RIVER VALLEY RIVERSIDE/CLOVERDALE,45,RIVER VALLEY RIVERSIDE,98 AVE & 92 ST TO CAPILANO FREEWAY,B1,11,4190,4190,CLOVERDALE TO CAPILANO MULTIPURPOSE TRAIL,98 AVE & 92 ST TO CAPILANO FREEWAY,345,53.546540820,-113.457908600,2.1092,0.000,2.109,2,0.3,0:00:00,7:01:51,SE,,,2.109221544,Used SLIM Area,,,,,,,,
654,WILDROSE,35,WILD ROSE,34 St South of 35A Ave East to park,B1,11,4194,4194,Ravine WALKWAY & BLVD Areas,34 St South of 35A AVE to 34 AVE,35,53.465734970,-113.384733500,0.1810,0.000,0.181,2,0.3,0:00:00,0:36:12,SE,,,,,,,,,,,,
655,FOREST HEIGHTS,8,FOREST HEIGHTS,79 ST-98 AVE,B1,11,4198,4198,MIKE FINLAND PARK,79 ST - 98 AVE,8,53.538047070,-113.447058600,2.4320,2.070,0.362,2,0.3,1:02:06,1:12:24,SE,,,,,,,,,,,,
656,MENISA,6,MENISA,S/S Millwoods RD S 80-66 ST,B1,11,4199,4199,ROADWAY,S/S MILL WOODS RD S 80 - 66 ST,6,53.445869320,-113.444047600,0.4250,0.000,0.425,2,0.3,0:00:00,1:25:00,SE,Weekend - Roadway,,,,,,,,,,,
657,TAWA,6,TAWA,SOUTH SIDE/C 34 AVE-BTWN-66-50 ST,B1,11,4204,4204,ROADWAY,SOUTH SIDE/C 34 AVE - BTWN - 66 - 50 ST,6,53.465244250,-113.428214600,1.9480,1.000,0.948,2,0.3,0:30:00,3:09:36,SE,Weekend - Roadway,,,,,,,,,,,
658,HILLVIEW,8,HILLVIEW,66 ST-SCHOOL-37-38 AVE,B1,11,4211,4211,WALKWAY,66 ST - SCHOOL - 37 - 38 AVE,8,53.472831810,-113.432688200,0.9350,,0.935,2,0.3,0:00:00,3:07:00,SE,,,,,,,,,,,,
659,RIVER VALLEY GOLD BAR,3,RIVER VALLEY GOLD BAR,FULTON ROAD-BTWN-63 ST-105 AVE,B2,8,4213,4213,NEIGHBOURHOOD PARK/RAVINE BUFFER,FULTON ROAD - BTWN - 63 ST - 105 AVE,303,53.546840950,-113.436665100,6.3170,5.370,0.947,2,0.3,2:41:06,3:09:24,SE,,,,,,,,,,,,
660,KAMEYOSEK,1,KAMEYOSEK,WEST SIDE 66 ST BTWN 28-34 AVE,B1,11,4221,4221,ROADWAY,WEST SIDE 66 ST BTWN 28 - 34 AVE,1,53.463070870,-113.435343500,0.7980,0.240,0.558,2,0.3,0:07:12,1:51:36,SE,Weekend - Roadway,,,,,,,,,,,
661,BONNIE DOON,14,BONNIE DOON,8310-88 AVE,B1,11,4255,4255,IDYLWYLDE LIBRARY (C/0),8310 - 88 AVE,14,53.523901360,-113.456798100,0.1400,,0.140,2,0.3,0:00:00,0:28:00,SE,,,,,,,,,,,,
662,BONNIE DOON,15,BONNIE DOON,8314-88 AVE,B1,11,4256,4256,IDYLWYLDE HEALTH CLINIC (C/0),8314 - 88 AVE,15,53.523655680,-113.457099200,0.0340,,0.034,2,0.3,0:00:00,0:06:48,SE,,,,,,,,,,,,
663,KINISKI GARDENS,17,KINISKI GARDENS,44 ST-39 AVE,B1,11,4259,4259,BURNEWOOD LAKE #2/BLVD,44 ST - 39 AVE,17,53.474529580,-113.405658700,1.3970,0.417,0.980,2,0.3,0:12:31,3:16:00,SE,,,,,,,,,,,,
664,WEINLOS,6,WEINLOS,W/S MILL WOODS RD EAST: 23 AVE - 34 AVE,B1,11,4260,4260,ROADWAY,W/S MILL WOODS RD EAST: 23 AVE - 34 AVE,6,53.459893900,-113.407520100,2.4420,1.242,1.200,2,0.3,0:37:16,4:00:00,SE,Weekend - Roadway,,,,,,,,,,,
